
devicename,deviceshortname,groupidentifier,sensor1name,sensor2name,serialnumber,devicetype,secondsTime,secondstimestring,dataSamplingSec, temperature,rtcBatVolt,opMode, rssi, snr,flowRate,totalMilliLitres,flowRate2,totalMilliLitres2,tank1PressurePsi,tank2PressurePsi,latitude,longitude,altitude,solarVoltage,capacitorVoltage,outdoortemperature,outdoorhumidity,lux, sleeptime,minimumEfficiencyForLed,minimumEfficiencyForWifi
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 23, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.98,19.41,50.84,-6.90, -688,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1739952554,2025-02-19 19:09:14,10, 20, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.69,0.00,0.00,8096.00, 600,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 20, 2.70, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.63,19.35,50.94,-6.90, -1162,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 20, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.58,19.30,50.99,-6.90, -1297,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 20, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.52,19.25,50.84,-6.90, -1468,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 20, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.46,19.20,50.90,-6.90, -1690,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 20, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.40,19.12,50.96,-6.90, -1992,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 20, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.37,19.06,51.02,-6.90, -2232,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1961384289,2032-02-26 15:58:09,10, 20, 2.71, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.32,18.96,51.07,-6.90, -2657,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1740001842,2025-02-20 08:50:42,10, 18, 2.69, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.35,0.00,0.00,-6.90, 600,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,-1744217946,2050-10-31 00:29:10,10, 19, 2.69, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 5.13,0.00,0.00,-6.90, 600,40, 50
Scepti,SCE, , Top Tank,, 28FFB27A67232C0, daffodilTF,1740019722,2025-02-20 13:48:42,10, 47, 2.70, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.97,24.07,42.07,6451.50, 600,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1740023785,2025-02-20 14:56:25,10, 45, 2.70, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.66,0.00,0.00,169.62, 600,40, 50
Scepti,SCE, , NoSensor,Temperatur(⸮⸮zg#⸮, 28FFB27A67232C0, daffodilTF,1740023786,2025-02-20 14:56:26,10, 45, 2.70, 0, 0.00,0.00,0.00,0.00,0.00,0.00, 0.00,0.00,-37.13, 144.47, 0.00,0.00, 3.48,0.00,0.00,192.62, 600,40, 50
