Timestamp,Battery Voltage (V),Battery Current (mA)
2026-06-25 10:46:18,3.27,29.2
2026-06-25 10:46:34,3.27,29.8
2026-06-25 10:49:56,3.27,13.8
2026-06-25 10:50:14,3.26,35
2026-06-25 10:53:29,3.27,29
2026-06-25 10:54:06,3.26,30.2
2026-06-25 10:55:33,3.26,29.4
2026-06-25 10:57:15,3.26,29.8
2026-06-25 10:59:06,3.26,29.2
2026-06-25 10:59:24,3.26,30
2026-06-25 11:02:34,3.21,31.2
2026-06-25 11:04:21,3.25,14
2026-06-25 11:04:38,3.26,29.4
2026-06-25 11:06:06,3.26,29.2
2026-06-25 11:06:23,3.26,29
2026-06-25 11:07:53,3.25,29.8
2026-06-25 11:09:38,3.25,29.2
2026-06-25 11:09:56,3.25,29.4
2026-06-25 11:12:00,3.25,29.4
2026-06-25 11:13:14,3.25,29.6
2026-06-25 11:15:13,3.25,29.6
2026-06-25 11:18:50,3.25,30
2026-06-25 11:19:08,3.25,30
2026-06-25 11:20:36,3.25,30.2
2026-06-25 11:20:55,3.25,29.8
2026-06-25 11:22:20,3.24,27
2026-06-25 11:22:39,3.24,30
2026-06-25 11:25:54,3.25,29.6
2026-06-25 11:26:11,3.24,30.2
2026-06-25 11:27:44,3.24,29.6
2026-06-25 11:28:03,3.24,29.6
2026-06-25 11:29:34,3.24,29.2
2026-06-25 11:29:52,3.25,29.6
2026-06-25 11:35:14,3.24,29.6
2026-06-25 11:36:42,3.25,29.4
2026-06-25 11:37:01,3.24,29.8
2026-06-25 11:42:55,3.24,29.4
2026-06-25 11:48:10,3.25,29.4
2026-06-25 11:49:36,3.24,29.4
2026-06-25 11:55:02,3.24,30
2026-06-25 11:56:51,3.24,29.8
2026-06-25 12:00:10,3.24,29
2026-06-25 12:01:58,3.24,12
2026-06-25 12:02:17,3.24,29.4
2026-06-25 12:04:22,3.24,29.6
2026-06-25 12:05:50,3.24,29.4
2026-06-25 12:07:38,3.24,29.8
2026-06-25 12:09:27,3.24,29.6
2026-06-25 12:09:46,3.24,18.6
2026-06-25 12:13:23,3.24,29.2
2026-06-25 12:13:41,3.24,29.6
2026-06-25 12:15:13,3.24,29.8
2026-06-25 12:16:41,3.22,29.6
2026-06-25 12:18:42,3.21,29.8
